,NUTR_CONT4,NUTR_CONT2,NUTR_CONT3,DESC_KOR
546,,,13.0,쉬림프&스테이크 올인(치즈크러스트)L
547,,,13.0,직화불고기(크런치)M
548,,,13.0,직화불고기(크런치)L
549,,,15.0,직화불고기(리치골드)M
550,,,14.0,직화불고기(리치골드)L
551,,,28.0,직화불고기(치즈크러스트)M
552,,,26.0,직화불고기(치즈크러스트)L
553,,,12.0,수퍼슈프림(크런치)M
554,,,13.0,수퍼슈프림(크런치)L
555,,,14.0,수퍼슈프림(리치골드)M
556,,,15.0,수퍼슈프림(리치골드)L
557,,,13.0,수퍼슈프림(치즈크러스트)M
558,,,14.0,수퍼슈프림(치즈크러스트)L
559,,,12.0,베이컨포테이토(크런치)M
560,,,13.0,베이컨포테이토(크런치)L
561,,,14.0,베이컨포테이토(리치골드)M
562,,,14.0,베이컨포테이토(리치골드)L
563,,,13.0,베이컨포테이토(치즈크러스트)M
564,,,13.0,베이컨포테이토(치즈크러스트)L
565,,,21.0,직화불고기L
566,,,15.0,페페로니M
567,,,18.0,페페로니L
568,,,22.0,수퍼슈프림L
569,,,17.0,치즈M
570,,,20.0,치즈L
571,,,2.0,콘샐러드
572,,,1.0,코울슬로
573,,,24.0,크림치킨파스타
574,,,22.0,상하이쉬림프파스타
575,,,21.0,팝콘치킨
576,,,21.0,치즈볼
577,,,27.0,오리지날 윙 4조각
578,,,54.0,오리지날 윙 8조각
579,,,28.0,스파이시윙 4조각
580,,,55.0,스파이시윙 8조각
581,,,20.0,치킨텐더 4조각
582,,,39.0,치킨텐더 8조각
583,,,24.0,리치치즈파스타
584,,,3.0,그뤼에르 퐁듀소스
585,,,0.0,치즈크러스트 디핑소스
586,,,0.0,핫소스
587,,,0.0,바른생피클 L
588,,,0.0,바른생피클 M
589,,,17.0,갓치킨L(바삭한 크런치)
590,,,20.0,갓치킨L(쫄깃한 클래식)
591,,,15.0,순삭포테이토L(바삭한 크런치)
592,,,17.0,순삭포테이토L(쫄깃한 클래식)
593,,,17.0,케미콤보(쫄깃한 클래식)
