,DESC_KOR,NN,category
4097,크림치즈 와플,와플,0
4098,메이플 와플,메이플,0
4099,크로크 무슈,무슈,0
4100,잉글리쉬 머핀,머핀,0
4101,오리지널 핫 번,nan,0
4102,핫 치즈 번,치즈,3
4103,소시지롤,소시,0
4104,치즈롤,치즈,3
4105,프레즐,nan,0
4106,플레인 베이글,플레인,40
4107,어니언 베이글,어니언,226
4108,블루베리 베이글,블루베리,7
4109,이디야 티라미수,이디야,0
4110,블루베리 치즈 스틱케익,블루베리,7
4111,플레인 치즈 스틱케익,플레인,40
4112,스노우 쿠키슈,스노우,0
4113,크림치즈 머핀,머핀,0
4114,초코칩 머핀,초코,2
4115,블루베리 머핀,블루베리,7
4116,초코렛 청크 쿠키,쿠키,44
4117,마카다미아 쿠키,마카다미아,0
4118,콤비네이션 피자,콤비네이션,0
4119,화이트갈릭 피자,화이트,50
4120,불고기 피자,불고기,22
4121,포테이토 피자,테이,125
4122,페퍼로니 피자,페퍼로니,287
4123,치즈 피자,치즈,3
4124,치킨 피자,치킨,12
4125,하와이언 피자,하와이어,0
4126,야채 피자,피자,70
4127,목우촌미트 피자,우,224
4128,고구마디럭스 피자,고구,0
4129,레드핫치킨 피자,레드,140
4130,핫바비큐 피자,바비큐,0
4131,시카고 피자,시카고,0
4132,스파이시 치킨피자,스파이,200
4133,쉬림프디럭스 피자,피자,70
4134,미트스파게티,미트,0
4135,그릴윙봉,그릴,170
4136,치즈브래드 스틱,치즈,3
4137,고구마브래드 스틱,고구마,6
4138,치즈피자L,치즈,3
4139,치즈피자XL,치즈,3
4140,야채피자L,피자,70
4141,야채피자 XL,피자,70
4142,콤비네이션피자 L,콤비네이션,0
4143,콤비네이션피자 XL,콤비네이션,0
4144,불고기피자 L,불고기,22
4145,불고기피자 XL,불고기,22
4146,고구마피자L,고구마,6
4147,고구마피자 XL,고구마,6
4148,핫치킨피자 L,치킨,12
4149,핫치킨피자 XL,치킨,12
4150,페파로니피자 L,nan,0
4151,페파로니피자 XL,nan,0
4152,하와이안피자 L,하와이,0
4153,하와이안피자 XL,하와이,0
4154,포테이토피자 L,테이,125
4155,포테이토피자 XL,테이,125
4156,프리미엄불고기피자 L,프리미엄,30
4157,프리미엄불고기피자 XL,프리미엄,30
4158,베이컨피자 L,베이컨,75
4159,베이컨피자 XL,베이컨,75
4160,스테이크피자 L,스테이크,180
4161,스테이크피자 XL,스테이크,180
4162,킹크래미피자 L,피자,70
4163,킹크래미피자 XL,피자,70
4164,떡갈비피자 L,떡갈비,0
4165,떡갈비피자 XL,떡갈비,0
4166,치즈크러스트피자 L,nan,0
4167,치즈크러스트피자 XL,nan,0
4168,리치골드피자 L,리치,246
4169,리치골드피자 XL,리치,246
4170,치즈바이트피자 L,치즈,3
4171,치즈바이트피자 XL,치즈,3
4172,체다바베큐필레 L,다,0
4173,체다바베큐필레 XL,다,0
4174,체다콤비네이션피자 L,다,0
4175,체다콤비네이션피자 XL,다,0
4176,골드바베큐필레 L,골드,72
4177,골드바베큐필레 XL,골드,72
4178,골드스테이크피자 L,골드,72
4179,골드스테이크피자 XL,골드,72
4180,골드새우피자 L,골드,72
4181,골드새우피자 XL,골드,72
4182,콜드프리미엄불고기 L,콜드,0
4183,콜드프리미엄불고기 XL,콜드,0
4184,골드핫치킨피자 L,골드,72
4185,골드핫치킨피자 XL,골드,72
4186,골드베이컨피자 X,골드,72
4187,골드베이컨피자 XL,골드,72
4188,골드포테이토피자 X,골드,72
